web-scraper-order,web-scraper-start-url,station-name-link,station-name-link-href,coordinates
1625310993-415,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Batman,https://en.wikipedia.org/wiki/Batman_railway_station,37°44′01″S
1625310954-387,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Broadmeadows,"https://en.wikipedia.org/wiki/Broadmeadows_railway_station,_Melbourne",37°40′58″S
1625310832-293,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Gardenvale,https://en.wikipedia.org/wiki/Gardenvale_railway_station,37°53′48″S
1625310855-311,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Fairfield,"https://en.wikipedia.org/wiki/Fairfield_railway_station,_Melbourne",37°46′45″S
1625310698-191,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Merlynston,https://en.wikipedia.org/wiki/Merlynston_railway_station,37°43′15″S
1625310584-107,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Riversdale,https://en.wikipedia.org/wiki/Riversdale_railway_station,37°49′53″S
1625310501-44,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Tottenham,https://en.wikipedia.org/wiki/Tottenham_railway_station,144°51′48″E
1625310822-286,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Glen Waverley,https://en.wikipedia.org/wiki/Glen_Waverley_railway_station,145°09′45″E
1625310700-194,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Merinda Park,https://en.wikipedia.org/wiki/Merinda_Park_railway_station,145°15′51″E
1625310671-172,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Moorabbin,https://en.wikipedia.org/wiki/Moorabbin_railway_station,145°02′12″E
1625310761-239,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Hurstbridge,https://en.wikipedia.org/wiki/Hurstbridge_railway_station,37°38′21″S
1625310522-60,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Sunshine,"https://en.wikipedia.org/wiki/Sunshine_railway_station,_Melbourne",144°49′57″E
1625310559-87,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Seddon,https://en.wikipedia.org/wiki/Seddon_railway_station,37°48′32″S
1625310814-280,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Glenhuntly,https://en.wikipedia.org/wiki/Glenhuntly_railway_station,145°02′32″E
1625310710-201,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Malvern,"https://en.wikipedia.org/wiki/Malvern_railway_station,_Melbourne",37°51′59″S
1625310710-202,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Malvern,"https://en.wikipedia.org/wiki/Malvern_railway_station,_Melbourne",145°01′44″E
1625310937-373,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Carnegie,https://en.wikipedia.org/wiki/Carnegie_railway_station,37°53′11″S
1625310729-216,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Lalor,https://en.wikipedia.org/wiki/Lalor_railway_station,145°01′02″E
1625311018-434,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Alphington,https://en.wikipedia.org/wiki/Alphington_railway_station,145°01′53″E
1625310447-1,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Yarraville,https://en.wikipedia.org/wiki/Yarraville_railway_station,37°48′59″S
1625310462-14,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Williams Landing,https://en.wikipedia.org/wiki/Williams_Landing_railway_station,144°44′49″E
1625310853-309,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Fawkner,https://en.wikipedia.org/wiki/Fawkner_railway_station,37°42′53″S
1625310542-76,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Southern Cross,https://en.wikipedia.org/wiki/Southern_Cross_railway_station,144°57′09″E
1625311026-440,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Aircraft,https://en.wikipedia.org/wiki/Aircraft_railway_station,144°45′39″E
1625310988-412,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Bayswater,"https://en.wikipedia.org/wiki/Bayswater_railway_station,_Melbourne",145°16′05″E
1625310447-2,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Yarraville,https://en.wikipedia.org/wiki/Yarraville_railway_station,144°53′23″E
1625310982-407,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Belgrave,https://en.wikipedia.org/wiki/Belgrave_railway_station,37°54′33″S
1625310550-82,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,South Kensington,https://en.wikipedia.org/wiki/South_Kensington_railway_station,144°55′33″E
1625311015-432,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Altona,https://en.wikipedia.org/wiki/Altona_railway_station,144°49′48″E
1625310606-122,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Patterson,https://en.wikipedia.org/wiki/Patterson_railway_station,145°02′07″E
1625310881-331,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Diggers Rest,https://en.wikipedia.org/wiki/Diggers_Rest_railway_station,37°37′37″S
1625310617-130,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Pakenham,https://en.wikipedia.org/wiki/Pakenham_railway_station,145°29′09″E
1625310873-326,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,East Malvern,https://en.wikipedia.org/wiki/East_Malvern_railway_station,145°04′10″E
1625310494-38,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Upper Ferntree Gully,https://en.wikipedia.org/wiki/Upper_Ferntree_Gully_railway_station,145°18′27″E
1625310845-304,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Flemington Bridge,https://en.wikipedia.org/wiki/Flemington_Bridge_railway_station,144°56′22″E
1625310457-9,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Williamstown Beach,https://en.wikipedia.org/wiki/Williamstown_Beach_railway_station,37°51′51″S
1625310785-258,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Heatherdale,https://en.wikipedia.org/wiki/Heatherdale_railway_station,145°12′46″E
1625310920-362,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Clayton,"https://en.wikipedia.org/wiki/Clayton_railway_station,_Melbourne",145°07′12″E
1625310904-349,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Cranbourne,https://en.wikipedia.org/wiki/Cranbourne_railway_station,38°06′00″S
1625310485-31,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Watergardens,https://en.wikipedia.org/wiki/Watergardens_railway_station,37°42′03″S
1625311026-439,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Aircraft,https://en.wikipedia.org/wiki/Aircraft_railway_station,37°52′00″S
1625310915-358,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Coburg,https://en.wikipedia.org/wiki/Coburg_railway_station,144°57′48″E
1625310991-413,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Baxter,https://en.wikipedia.org/wiki/Baxter_railway_station,38°11′39″S
1625310582-106,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Rosanna,https://en.wikipedia.org/wiki/Rosanna_railway_station,145°03′58″E
1625310835-296,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Frankston,https://en.wikipedia.org/wiki/Frankston_railway_station,145°07′34″E
1625310524-62,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Sunbury,"https://en.wikipedia.org/wiki/Sunbury_railway_station,_Melbourne",144°43′40″E
1625310596-114,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Reservoir,https://en.wikipedia.org/wiki/Reservoir_railway_station,145°00′26″E
1625310530-66,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Stony Point,https://en.wikipedia.org/wiki/Stony_Point_railway_station,145°13′18″E
1625310897-343,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Croydon,"https://en.wikipedia.org/wiki/Croydon_railway_station,_Melbourne",37°47′43″S
1625310822-285,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Glen Waverley,https://en.wikipedia.org/wiki/Glen_Waverley_railway_station,37°52′46″S
1625310468-18,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Westgarth,https://en.wikipedia.org/wiki/Westgarth_railway_station,144°59′57″E
1625310599-115,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Regent,https://en.wikipedia.org/wiki/Regent_railway_station,37°43′42″S
1625310648-153,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Newport,"https://en.wikipedia.org/wiki/Newport_railway_station,_Melbourne",37°50′33″S
1625310876-328,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,East Camberwell,https://en.wikipedia.org/wiki/East_Camberwell_railway_station,145°04′06″E
1625310974-402,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Berwick,"https://en.wikipedia.org/wiki/Berwick_railway_station,_Melbourne",145°20′42″E
1625310470-19,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Westall,https://en.wikipedia.org/wiki/Westall_railway_station,37°56′18″S
1625310698-192,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Merlynston,https://en.wikipedia.org/wiki/Merlynston_railway_station,144°57′41″E
1625310481-28,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Wattle Glen,https://en.wikipedia.org/wiki/Wattle_Glen_railway_station,145°10′54″E
1625310457-10,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Williamstown Beach,https://en.wikipedia.org/wiki/Williamstown_Beach_railway_station,144°53′40″E
1625310507-47,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Toorak,https://en.wikipedia.org/wiki/Toorak_railway_station,37°51′04″S
1625310745-228,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Kananook,https://en.wikipedia.org/wiki/Kananook_railway_station,145°08′07″E
1625310623-133,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Officer,https://en.wikipedia.org/wiki/Officer_railway_station,38°03′58″S
1625310496-40,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Upfield,https://en.wikipedia.org/wiki/Upfield_railway_station,144°56′48″E
1625310491-36,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Upwey,"https://en.wikipedia.org/wiki/Upwey_railway_station,_Melbourne",145°19′53″E
1625310814-279,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Glenhuntly,https://en.wikipedia.org/wiki/Glenhuntly_railway_station,37°53′24″S
1625310939-376,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Cardinia Road,https://en.wikipedia.org/wiki/Cardinia_Road_railway_station,145°26′15″E
1625310767-243,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Hughesdale,https://en.wikipedia.org/wiki/Hughesdale_railway_station,37°53′39″S
1625310732-218,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Laburnum,https://en.wikipedia.org/wiki/Laburnum_railway_station,145°08′27″E
1625310491-35,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Upwey,"https://en.wikipedia.org/wiki/Upwey_railway_station,_Melbourne",37°54′13″S
1625311009-427,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Armadale,"https://en.wikipedia.org/wiki/Armadale_railway_station,_Melbourne",37°51′23″S
1625310759-238,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Ivanhoe,"https://en.wikipedia.org/wiki/Ivanhoe_railway_station,_Melbourne",145°02′44″E
1625310488-33,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Victoria Park,"https://en.wikipedia.org/wiki/Victoria_Park_railway_station,_Melbourne",37°47′57″S
1625310966-395,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Bonbeach,https://en.wikipedia.org/wiki/Bonbeach_railway_station,38°03′46″S
1625310718-208,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Lynbrook,https://en.wikipedia.org/wiki/Lynbrook_railway_station,145°14′58″E
1625310915-357,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Coburg,https://en.wikipedia.org/wiki/Coburg_railway_station,37°44′32″S
1625310571-98,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Ruthven,https://en.wikipedia.org/wiki/Ruthven_railway_station,145°00′34″E
1625310982-408,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Belgrave,https://en.wikipedia.org/wiki/Belgrave_railway_station,145°21′19″E
1625310954-388,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Broadmeadows,"https://en.wikipedia.org/wiki/Broadmeadows_railway_station,_Melbourne",144°55′11″E
1625310977-404,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Bentleigh,https://en.wikipedia.org/wiki/Bentleigh_railway_station,145°02′13″E
1625310522-59,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Sunshine,"https://en.wikipedia.org/wiki/Sunshine_railway_station,_Melbourne",37°47′17″S
1625310816-282,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Glenferrie,https://en.wikipedia.org/wiki/Glenferrie_railway_station,145°02′12″E
1625310750-232,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Jolimont,https://en.wikipedia.org/wiki/Jolimont_railway_station,144°58′58″E
1625310946-382,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Burwood,"https://en.wikipedia.org/wiki/Burwood_railway_station,_Melbourne",145°04′50″E
1625310726-214,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Laverton,"https://en.wikipedia.org/wiki/Laverton_railway_station,_Melbourne",144°46′20″E
1625310452-6,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Windsor,"https://en.wikipedia.org/wiki/Windsor_railway_station,_Melbourne",144°59′31″E
1625310609-123,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Pascoe Vale,https://en.wikipedia.org/wiki/Pascoe_Vale_railway_station,37°43′49″S
1625310650-156,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Newmarket,"https://en.wikipedia.org/wiki/Newmarket_railway_station,_Melbourne",144°55′44″E
1625310889-337,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Darling,https://en.wikipedia.org/wiki/Darling_railway_station,37°52′08″S
1625310606-121,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Patterson,https://en.wikipedia.org/wiki/Patterson_railway_station,37°55′29″S
1625310556-85,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Showgrounds,"https://en.wikipedia.org/wiki/Showgrounds_railway_station,_Melbourne",37°47′00″S
1625310527-64,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Strathmore,https://en.wikipedia.org/wiki/Strathmore_railway_station,144°55′39″E
1625310478-25,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Werribee,https://en.wikipedia.org/wiki/Werribee_railway_station,37°53′58″S
1625310450-3,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Yarraman,https://en.wikipedia.org/wiki/Yarraman_railway_station,37°58′41″S
1625310876-327,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,East Camberwell,https://en.wikipedia.org/wiki/East_Camberwell_railway_station,37°49′33″S
1625310829-291,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Gardiner,https://en.wikipedia.org/wiki/Gardiner_railway_station,37°51′12″S
1625310811-277,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Glenroy,https://en.wikipedia.org/wiki/Glenroy_railway_station,37°42′17″S
1625310593-111,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Richmond,"https://en.wikipedia.org/wiki/Richmond_railway_station,_Melbourne",37°49′25″S
1625311012-429,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Anstey,https://en.wikipedia.org/wiki/Anstey_railway_station,37°45′40″S
1625310721-209,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Lilydale,https://en.wikipedia.org/wiki/Lilydale_railway_station,37°45′20″S
1625310452-5,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Windsor,"https://en.wikipedia.org/wiki/Windsor_railway_station,_Melbourne",37°51′22″S
1625310929-367,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Chatham,"https://en.wikipedia.org/wiki/Chatham_railway_station,_Melbourne",37°49′27″S
1625310620-131,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Ormond,https://en.wikipedia.org/wiki/Ormond_railway_station,37°54′12″S
1625310638-146,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,North Richmond,https://en.wikipedia.org/wiki/North_Richmond_railway_station,144°59′33″E
1625310871-324,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,East Richmond,"https://en.wikipedia.org/wiki/East_Richmond_railway_station,_Melbourne",144°59′47″E
1625310501-43,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Tottenham,https://en.wikipedia.org/wiki/Tottenham_railway_station,37°47′57″S
1625310740-223,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Kensington,"https://en.wikipedia.org/wiki/Kensington_railway_station,_Melbourne",37°47′38″S
1625310582-105,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Rosanna,https://en.wikipedia.org/wiki/Rosanna_railway_station,37°44′34″S
1625310806-273,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Greensborough,https://en.wikipedia.org/wiki/Greensborough_railway_station,37°42′14″S
1625310514-54,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Tecoma,https://en.wikipedia.org/wiki/Tecoma_railway_station,145°20′35″E
1625310640-148,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,North Melbourne,https://en.wikipedia.org/wiki/North_Melbourne_railway_station,144°56′28″E
1625310793-264,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Hawksburn,https://en.wikipedia.org/wiki/Hawksburn_railway_station,145°00′08″E
1625310656-160,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Murrumbeena,https://en.wikipedia.org/wiki/Murrumbeena_railway_station,145°04′02″E
1625310653-157,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Narre Warren,https://en.wikipedia.org/wiki/Narre_Warren_railway_station,38°01′40″S
1625310845-303,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Flemington Bridge,https://en.wikipedia.org/wiki/Flemington_Bridge_railway_station,37°47′18″S
1625310465-15,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Westona,https://en.wikipedia.org/wiki/Westona_railway_station,37°51′54″S
1625310704-195,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Mentone,https://en.wikipedia.org/wiki/Mentone_railway_station,37°58′55″S
1625310917-359,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Clifton Hill,https://en.wikipedia.org/wiki/Clifton_Hill_railway_station,37°47′19″S
1625310476-24,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,West Footscray,https://en.wikipedia.org/wiki/West_Footscray_railway_station,144°53′07″E
1625310850-307,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Ferntree Gully,https://en.wikipedia.org/wiki/Ferntree_Gully_railway_station,37°52′54″S
1625310838-297,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Footscray,https://en.wikipedia.org/wiki/Footscray_railway_station,37°48′06″S
1625310534-69,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Springvale,https://en.wikipedia.org/wiki/Springvale_railway_station,37°56′58″S
1625310724-211,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Leawarra,https://en.wikipedia.org/wiki/Leawarra_railway_station,38°09′07″S
1625311021-435,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Albion,"https://en.wikipedia.org/wiki/Albion_railway_station,_Melbourne",37°46′38″S
1625310742-226,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Keilor Plains,https://en.wikipedia.org/wiki/Keilor_Plains_railway_station,144°47′38″E
1625310902-347,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Crib Point,https://en.wikipedia.org/wiki/Crib_Point_railway_station,38°21′58″S
1625310726-213,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Laverton,"https://en.wikipedia.org/wiki/Laverton_railway_station,_Melbourne",37°51′50″S
1625310803-272,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Hallam,https://en.wikipedia.org/wiki/Hallam_railway_station,145°16′13″E
1625310963-394,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Boronia,https://en.wikipedia.org/wiki/Boronia_railway_station,145°17′04″E
1625310996-417,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Balaclava,"https://en.wikipedia.org/wiki/Balaclava_railway_station,_Melbourne",37°52′10″S
1625311024-438,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Alamein,https://en.wikipedia.org/wiki/Alamein_railway_station,145°04′47″E
1625310853-310,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Fawkner,https://en.wikipedia.org/wiki/Fawkner_railway_station,144°57′38″E
1625310553-83,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Somerville,https://en.wikipedia.org/wiki/Somerville_railway_station,38°13′31″S
1625310612-126,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Parliament,https://en.wikipedia.org/wiki/Parliament_railway_station,144°58′23″E
1625310669-169,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Mooroolbark,https://en.wikipedia.org/wiki/Mooroolbark_railway_station,37°47′05″S
1625310840-299,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Flinders Street,https://en.wikipedia.org/wiki/Flinders_Street_railway_station,37°49′05″S
1625310690-185,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Middle Brighton,https://en.wikipedia.org/wiki/Middle_Brighton_railway_station,37°54′54″S
1625310884-333,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Diamond Creek,https://en.wikipedia.org/wiki/Diamond_Creek_railway_station,37°40′24″S
1625310713-203,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Macleod,https://en.wikipedia.org/wiki/Macleod_railway_station,37°43′34″S
1625310537-72,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Spotswood,https://en.wikipedia.org/wiki/Spotswood_railway_station,144°53′09″E
1625310897-344,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Croydon,"https://en.wikipedia.org/wiki/Croydon_railway_station,_Melbourne",145°16′50″E
1625310902-348,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Crib Point,https://en.wikipedia.org/wiki/Crib_Point_railway_station,145°12′15″E
1625310764-242,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Huntingdale,https://en.wikipedia.org/wiki/Huntingdale_railway_station,145°06′09″E
1625310569-95,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Sandown Park,"https://en.wikipedia.org/wiki/Sandown_Park_railway_station,_Melbourne",37°57′24″S
1625310695-189,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Mernda,https://en.wikipedia.org/wiki/Mernda_railway_station,37°35′58″S
1625310865-320,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Elsternwick,https://en.wikipedia.org/wiki/Elsternwick_railway_station,145°00′03″E
1625310666-167,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Mordialloc,https://en.wikipedia.org/wiki/Mordialloc_railway_station,38°00′24″S
